true_values,1024-128-512-768,256-1024-768-512-768-128,512-256-512-128-768,768-128-512-512-1024-2048,128-768-256-512-768-768,512-768-256-128-512-1024,768-768-512-2048-256,256-256-256-1024-768-128,256-512-2048-256-256,768-768-2048-128,1024-256-2048,2048-2048-256-1024-2048,1024-512-128-768-128,768-1024-128-256-2048,128-512-1024-256-512-1024,512-512-512-128-128-128,128-128-2048-768-256-2048,512-2048-512-512-256,2048-256-256-128-128,2048-128-1024-1024-768,512-512-768-2048-512-1024,128-2048-128-768-768-512,256-256-256-128-512,256-128-768-768-512,1024-256-128-128-256,128-256-128-512-768-768,512-512-768-768-128-128,768-512-512-512-2048,512-768-512-768-512,512-128-256-2048-256,512-128-256,768-512-2048-256-128,512-128-512-128-1024,256-768-256-256-768,128-128-768-768-2048-768,1024-2048-256-1024,768-1024-1024-128-256,512-512-512-768-128-768,512-512-1024-128,512-128-256-2048-768,256-256-768-768-128,768-2048-1024-256-2048,128-256-1024-768-2048-512,128-512-768-2048-1024-2048,1024-512-256-512,2048-768-2048-2048-256,512-512-128-256-128,128-1024-512-256-1024-1024,1024-1024-512-128-2048,128-128-512-256-128-768,1024-256-128-2048,1024-768-2048-512,512-256-256-128-512,1024-256-256-512-128,1024-1024-512-256-768,1024-512-768-256-128,512-768-1024-128-768,512-256-512-512-1024,1024-256-256-128,2048-1024-2048-128-1024,256-256-1024-256-768,1024-128-256-2048-768,1024-256-768-256-2048,128-256-512-128-512-2048,1024-1024-256-768-2048,2048-1024-512-512-768,512-1024-128-128-512,768-512-128-128-1024,128-512-256-512-128-1024,1024-256-512-128-128,512-128-256-1024,512-768-1024-256-1024-2048,512-768-128-768-128,768-512-768,256-256-128-768-256,512-1024-256-256-256-2048,2048-768-128-2048-1024,128-768-256-2048-256,128-512-1024-768-256-128,1024-1024-768-2048,512-1024-512-768-768-2048,128-768-128-2048-128-768,512-2048-1024-128-768,512-512-2048-128-768,128-512-256-768-512-512,1024-512-768-1024-256,1024-512-1024-512-768,512-2048-1024-128-512,768-1024-2048,128-1024-768-128-2048,2048-1024-256-512-768,128-256-1024-512-128,512-768-1024-768,512-512-768-256-256,512-768-1024-256-256,512-512-768-512-128,1024-512-1024-768-512,256-2048-1024-512,1024-2048-1024-256-128,256-128-2048-256-512
2.07,4.048547267913818,4.083771705627441,4.428304195404053,4.186506271362305,3.8968822956085205,5.409875869750977,4.058804512023926,4.268896579742432,4.255715370178223,3.759676456451416,4.424295425415039,4.5554351806640625,5.54184627532959,3.8115341663360596,4.9071197509765625,4.553159236907959,4.229116916656494,4.263895511627197,4.24600076675415,4.40598201751709,4.26440954208374,4.888854503631592,4.258358478546143,3.7249395847320557,4.313124656677246,4.5043721199035645,4.357127666473389,4.57594108581543,4.430349826812744,4.16588830947876,4.156912326812744,4.365782737731934,4.211114406585693,4.563977241516113,4.038268089294434,4.6339616775512695,5.007946491241455,4.434239864349365,4.597060203552246,4.079967498779297,4.106677055358887,4.204246997833252,4.653280258178711,5.067000865936279,3.588728904724121,4.068447113037109,4.3894124031066895,4.519997596740723,4.238089084625244,4.151808738708496,4.225635051727295,4.203019618988037,4.049656391143799,4.3966217041015625,4.878706932067871,4.437145233154297,4.1827616691589355,4.104764938354492,4.613985061645508,4.660109996795654,4.134014129638672,3.8828437328338623,3.9822309017181396,4.135426998138428,4.433903217315674,4.01011323928833,4.1590962409973145,4.332340240478516,4.2352375984191895,4.140468597412109,4.324472904205322,4.199057579040527,4.459388732910156,3.8884966373443604,4.424127101898193,3.9692234992980957,4.415579795837402,4.34959602355957,4.614691734313965,4.98361349105835,4.627119064331055,4.289378643035889,4.145087242126465,4.366084575653076,4.40366792678833,5.221040725708008,4.330652236938477,3.997617244720459,5.003100395202637,4.581252574920654,4.840092182159424,4.597339630126953,4.287413120269775,4.086569309234619,4.158910751342773,4.461277008056641,4.011804103851318,4.421957969665527,4.737707614898682,4.10833215713501
2.12,4.5693745613098145,4.702998161315918,4.573356628417969,4.925820827484131,4.926201820373535,4.6154093742370605,4.600019454956055,4.998426914215088,4.5873823165893555,4.902449607849121,4.891632556915283,4.940864086151123,4.937350749969482,4.499517917633057,4.723178863525391,5.333407878875732,4.647865295410156,5.090368747711182,4.538698673248291,4.787778377532959,4.930901050567627,4.8590803146362305,4.678492546081543,4.602092742919922,4.698328018188477,5.165733337402344,4.856080532073975,5.230924129486084,5.133947849273682,4.320550441741943,4.542891025543213,5.034276962280273,5.0059709548950195,4.807734489440918,5.495429992675781,5.098384857177734,4.7133870124816895,4.9195942878723145,5.11609411239624,4.7476487159729,4.927133083343506,4.95175313949585,4.974637508392334,4.997227668762207,4.59942626953125,4.570530891418457,4.8747053146362305,4.870885848999023,5.071948051452637,4.708869934082031,4.838098049163818,4.564112663269043,4.616626262664795,4.942232608795166,5.032947540283203,4.685849189758301,5.106080055236816,4.774308681488037,5.057387351989746,4.896941661834717,4.6728339195251465,4.296389102935791,4.90489387512207,4.455949783325195,4.7049736976623535,4.576417922973633,4.908804416656494,4.976189136505127,4.510625839233398,4.633355140686035,4.71840238571167,4.321094036102295,4.7751359939575195,4.815049648284912,5.010540008544922,4.873394966125488,5.000342845916748,5.055757522583008,4.938525199890137,4.916717052459717,4.8148956298828125,4.629189968109131,5.156642913818359,4.625022888183594,4.578686237335205,5.022270679473877,4.622422695159912,5.134103775024414,4.699186325073242,4.668808937072754,5.090396404266357,5.304704666137695,4.639262676239014,5.036251544952393,4.767408847808838,5.209500789642334,4.310845375061035,5.083041191101074,4.9079179763793945,4.4492011070251465
2.27,3.8859543800354004,4.088985443115234,4.070046901702881,4.134490013122559,4.12022590637207,4.1283345222473145,4.077396392822266,4.226736068725586,4.135577201843262,3.89564847946167,3.671626329421997,4.27554988861084,4.124887466430664,3.9054648876190186,4.14976167678833,4.416189670562744,4.141635894775391,4.0892333984375,4.1054229736328125,4.13557767868042,4.257742881774902,4.4581146240234375,4.083570957183838,4.0659098625183105,4.225432395935059,4.452543258666992,4.292698383331299,4.3966546058654785,4.310573101043701,3.994009494781494,3.85329008102417,4.19005012512207,4.322267055511475,4.133199691772461,4.243785858154297,4.392453193664551,4.150567054748535,4.272198677062988,4.321924209594727,4.066217422485352,4.308064937591553,4.05239725112915,4.209404945373535,4.601891994476318,3.9438188076019287,3.8910326957702637,4.221283912658691,4.055301189422607,4.169114589691162,4.151553630828857,4.130735874176025,4.160705089569092,4.084331035614014,4.444555759429932,4.184055805206299,4.033535957336426,4.106739521026611,4.220122814178467,4.034334182739258,4.333698749542236,4.271524429321289,3.812532663345337,4.059687614440918,3.956498622894287,3.862781524658203,4.055294513702393,4.165174961090088,4.100266456604004,4.230891227722168,4.08893346786499,3.9161176681518555,4.075333118438721,4.048543930053711,3.8615660667419434,4.368210315704346,4.082968711853027,4.325476169586182,4.198909759521484,4.252748489379883,4.082813262939453,4.3004045486450195,4.232712745666504,4.0565924644470215,4.1376752853393555,4.310257911682129,4.440814018249512,3.827122211456299,4.069056510925293,3.7944459915161133,4.068965435028076,4.386011123657227,4.431796073913574,3.7771873474121094,4.148686408996582,4.132618427276611,4.2649245262146,3.9209234714508057,4.317848205566406,4.13301420211792,4.126688003540039
2.28,6.5490593910217285,6.13453483581543,6.052711009979248,6.044172286987305,6.550532817840576,6.164697170257568,5.843725681304932,5.747067451477051,6.7198567390441895,6.546494483947754,5.8664937019348145,6.1064958572387695,6.293079376220703,5.768224716186523,5.880205154418945,6.360762119293213,6.6069231033325195,6.2570343017578125,6.611773490905762,5.985382080078125,5.779770851135254,6.639527797698975,5.932316780090332,5.912476539611816,6.160320281982422,6.113810062408447,6.08574104309082,5.890634536743164,6.70731258392334,5.895581245422363,6.3785529136657715,6.063840866088867,5.367000102996826,6.5947489738464355,6.198768138885498,6.526200294494629,5.706122398376465,6.378267288208008,6.483583927154541,5.156618118286133,6.011354923248291,6.133220672607422,6.383354663848877,6.372655868530273,6.246244430541992,5.86779260635376,6.636386871337891,6.589135646820068,6.496079921722412,6.639424800872803,5.590937614440918,6.522331237792969,6.1596574783325195,5.667681694030762,6.571142673492432,5.592676162719727,6.269534111022949,6.373637676239014,6.284978866577148,6.552089691162109,6.58409309387207,5.798075199127197,6.44209098815918,6.3064422607421875,6.406769752502441,5.627401351928711,6.200321674346924,6.108124256134033,6.017157077789307,6.33593225479126,6.006833076477051,5.4164204597473145,6.240072250366211,6.612407684326172,6.112460136413574,5.967952251434326,6.069373607635498,6.731747627258301,5.799897193908691,6.165116310119629,6.243032455444336,6.265218257904053,6.582802772521973,6.0831708908081055,6.430854320526123,6.548177242279053,5.966793537139893,4.660013675689697,6.4071269035339355,6.120014190673828,6.356405735015869,6.31574010848999,5.952427864074707,6.182554244995117,5.182298183441162,6.021756649017334,6.1186981201171875,6.331169128417969,6.550942897796631,6.529329299926758
2.29,4.314911842346191,4.453703880310059,4.145545482635498,4.433047771453857,4.350143909454346,4.429193496704102,4.438600063323975,4.575468063354492,4.335826396942139,4.45222806930542,4.214562892913818,4.533500671386719,4.4862494468688965,4.204869747161865,4.3524065017700195,4.848416328430176,4.5203938484191895,4.5748701095581055,4.263242244720459,4.451870918273926,4.644235134124756,4.671200275421143,4.387975215911865,4.329416751861572,4.300783157348633,4.6662278175354,4.551376819610596,4.933536052703857,4.476258277893066,4.1373677253723145,4.261663436889648,4.529193878173828,4.699034690856934,4.517193794250488,4.867584705352783,4.841519832611084,4.292506217956543,4.5132317543029785,4.720975875854492,4.376145362854004,4.604898929595947,4.4900946617126465,4.577720642089844,4.66414737701416,4.219424247741699,4.188003063201904,4.519057273864746,4.493876934051514,4.641012668609619,4.438877582550049,4.337937355041504,4.277894973754883,4.335391998291016,4.6227288246154785,4.69509220123291,4.316064834594727,4.607950210571289,4.388835906982422,4.604000091552734,4.573139667510986,4.517297744750977,4.051268577575684,4.3399977684021,4.225350856781006,4.242953777313232,4.249773979187012,4.414851188659668,4.353259086608887,4.307599067687988,4.229511737823486,4.353000640869141,4.160757064819336,4.290181636810303,4.333634853363037,4.6851806640625,4.673344135284424,4.920375823974609,4.639631748199463,4.572780132293701,4.6384382247924805,4.499666213989258,4.412888526916504,4.5139994621276855,4.3366265296936035,4.398272514343262,4.658246994018555,4.24232292175293,4.739075660705566,4.129363536834717,4.268216133117676,4.795989036560059,4.972023963928223,4.240640640258789,4.57253885269165,4.390962600708008,4.72430419921875,4.147457599639893,4.762432098388672,4.281198501586914,4.1060404777526855
2.3,5.6161932945251465,5.402848243713379,5.4000020027160645,5.459444999694824,5.867631912231445,5.635763168334961,5.363288879394531,5.492841720581055,5.375768661499023,5.538121223449707,5.276658535003662,5.441671371459961,5.342658996582031,5.407644271850586,5.484064102172852,5.897569179534912,5.538480281829834,5.532814979553223,5.193226337432861,5.58193302154541,5.4940338134765625,5.788353443145752,5.489254951477051,5.4376091957092285,5.44976282119751,5.907008647918701,5.4076247215271,5.550058364868164,5.693722724914551,5.151808261871338,5.291485786437988,5.717714309692383,5.576846122741699,5.586343288421631,5.803319454193115,5.676251411437988,5.279776096343994,5.879134178161621,5.984413146972656,5.448793888092041,5.735742568969727,5.625666618347168,5.780008316040039,5.929966449737549,5.604667663574219,5.388641357421875,5.786633014678955,5.706982612609863,5.51759147644043,5.406142711639404,5.452759742736816,5.672358512878418,5.785687446594238,5.574269771575928,5.624447345733643,5.857459545135498,5.751528739929199,5.564205169677734,5.478167533874512,5.767312049865723,5.591662406921387,5.2592010498046875,5.640743732452393,5.408937931060791,5.5947394371032715,5.347903728485107,5.353440761566162,5.546030521392822,5.319482326507568,5.247377395629883,5.51447868347168,5.138105392456055,5.275157451629639,5.400815010070801,5.679945945739746,5.434830188751221,5.714640140533447,5.746214866638184,5.716268539428711,5.77106237411499,5.4746413230896,5.312582969665527,5.52661657333374,5.312808513641357,5.319486618041992,5.679594039916992,5.533931732177734,5.783288478851318,5.2632670402526855,5.49296760559082,5.6546406745910645,5.803009033203125,5.333456039428711,5.6851301193237305,5.655372619628906,5.710160255432129,5.244439125061035,5.58976936340332,5.529105186462402,5.395513534545898
2.36,6.470615386962891,5.751823425292969,6.109043121337891,6.273798942565918,6.201045989990234,6.065274238586426,5.568820953369141,5.830118656158447,5.82840633392334,5.703460693359375,5.894135475158691,6.253696441650391,6.056659698486328,5.76263952255249,6.026987075805664,5.8486456871032715,5.955165863037109,5.9825439453125,5.41117000579834,6.052493572235107,6.187127590179443,6.182901382446289,5.756173610687256,5.920943260192871,5.343982219696045,6.228116512298584,5.523204803466797,6.191799640655518,5.855615139007568,5.171880722045898,5.409643173217773,6.130590438842773,6.019313812255859,6.236160755157471,6.298933029174805,5.999782085418701,5.457440376281738,6.007157325744629,6.063431262969971,6.135020732879639,6.192601680755615,5.9104323387146,6.067870616912842,6.148128509521484,5.598968505859375,5.459278583526611,6.0561418533325195,6.393537521362305,5.617979526519775,5.545282363891602,5.8657755851745605,5.888432502746582,5.7786760330200195,6.0644707679748535,6.07496976852417,5.742880344390869,5.920679092407227,5.885601043701172,5.736638069152832,5.956112384796143,5.808500289916992,6.111401557922363,6.38519811630249,5.723608493804932,5.9076433181762695,5.845855236053467,5.726745128631592,5.660542011260986,5.848765850067139,5.554347515106201,5.579320907592773,5.750650405883789,5.627477169036865,5.824100494384766,6.320090293884277,6.304189205169678,6.000708103179932,6.042331695556641,5.750972747802734,5.979973316192627,5.964011192321777,5.8466010093688965,6.144551753997803,6.477264881134033,6.014246463775635,5.970831871032715,5.685460090637207,6.02619743347168,5.677691459655762,5.856644153594971,5.821277618408203,6.254729747772217,5.738862037658691,5.748752117156982,6.006871700286865,5.939764499664307,6.043622016906738,6.0759382247924805,5.669429779052734,5.814178943634033
2.4,3.7526886463165283,4.034139633178711,4.019308567047119,4.100419521331787,3.9764673709869385,3.979163646697998,3.9252805709838867,4.094740867614746,4.019542694091797,3.908146381378174,3.5955939292907715,4.153658866882324,4.109941482543945,3.879324436187744,4.076229095458984,4.378327369689941,4.0945611000061035,3.9521992206573486,4.0750041007995605,4.055891513824463,4.043582916259766,4.398633003234863,4.09808349609375,4.102945327758789,4.202754020690918,4.412136554718018,4.284378528594971,4.330636501312256,4.209179878234863,3.899146556854248,3.7347097396850586,4.023218154907227,4.172044277191162,4.0792460441589355,4.058048248291016,4.268944263458252,4.102694988250732,4.225053787231445,4.0307793617248535,3.8882298469543457,3.8944272994995117,3.8842227458953857,4.2283244132995605,4.4031243324279785,3.63946270942688,3.6770901679992676,4.064178943634033,3.960974931716919,4.142681121826172,4.130051612854004,3.9893248081207275,3.8595688343048096,4.105264663696289,4.07051420211792,4.1073784828186035,3.924034357070923,4.058721542358398,3.9482901096343994,3.9692652225494385,4.188433647155762,4.150083065032959,3.7130849361419678,3.8689069747924805,3.9742300510406494,3.7724862098693848,3.941525459289551,4.101902961730957,4.087385177612305,4.172692775726318,4.009609222412109,3.7112574577331543,3.958998203277588,3.932999610900879,3.6672725677490234,4.332857131958008,3.9351806640625,4.37085485458374,4.164556503295898,4.203080177307129,3.9789915084838867,4.178319931030273,4.228976249694824,4.041665554046631,4.007133483886719,4.192749500274658,4.1963653564453125,3.834444522857666,3.995894432067871,3.817119598388672,4.0327606201171875,4.176712989807129,4.276869773864746,3.757840633392334,4.054244041442871,4.137105941772461,4.147299766540527,3.830920696258545,3.953260898590088,4.080768585205078,3.949953556060791
2.4,4.592456817626953,3.822288990020752,3.8467931747436523,3.933112144470215,3.5817580223083496,4.008556365966797,3.6340525150299072,3.8803935050964355,3.815870761871338,3.6555700302124023,3.453400135040283,4.281044006347656,4.121707916259766,3.6504061222076416,3.9955661296844482,4.288328170776367,3.9734981060028076,3.9261608123779297,3.979248046875,3.6918845176696777,3.8238937854766846,4.345039367675781,4.122422695159912,3.6677544116973877,4.1597795486450195,4.247257232666016,4.100739002227783,4.062080383300781,4.074399948120117,3.6684417724609375,3.4012365341186523,4.034804344177246,4.154523849487305,3.8624815940856934,3.8292317390441895,4.226474761962891,4.17806339263916,4.111202716827393,3.8126449584960938,3.7519137859344482,3.4821152687072754,3.6714069843292236,3.9227309226989746,4.231441974639893,3.5051112174987793,3.340045928955078,4.0191426277160645,4.08322811126709,3.912330150604248,4.129604339599609,3.732240676879883,3.7863399982452393,3.9988443851470947,3.7028493881225586,3.9039571285247803,3.865834951400757,4.003952503204346,3.5618889331817627,3.8805198669433594,4.096343040466309,4.033513069152832,3.9909520149230957,3.695585250854492,3.918212890625,3.539609432220459,3.6893866062164307,4.069275856018066,4.804745197296143,4.049365520477295,3.966488838195801,3.6613664627075195,3.7387583255767822,3.735926628112793,3.556138753890991,4.167303085327148,3.897991180419922,4.260529518127441,3.849278450012207,4.123863220214844,4.236355304718018,4.012139320373535,4.318368434906006,3.883596658706665,4.301323413848877,4.088089466094971,3.94864559173584,3.505188465118408,4.01632022857666,4.434924125671387,3.8705618381500244,4.283963680267334,4.0018768310546875,3.723057746887207,3.848165988922119,4.263850212097168,4.042122840881348,3.433161735534668,3.685124397277832,4.048291206359863,3.700968027114868
2.52,5.893632411956787,5.363746643066406,5.718513488769531,6.113004207611084,5.946763515472412,5.77418851852417,5.321253299713135,5.283465385437012,5.504647731781006,5.339579105377197,5.836272239685059,6.183362007141113,5.827116966247559,5.444246292114258,5.477952003479004,5.689121246337891,5.656996250152588,5.582759380340576,5.230047702789307,5.6408467292785645,6.03983736038208,6.005781650543213,5.41163969039917,5.628137588500977,5.089760780334473,6.175851345062256,5.276797294616699,6.008047580718994,5.549442291259766,4.761571407318115,5.028382778167725,5.875812530517578,5.817005157470703,5.963901042938232,6.076210975646973,5.749358654022217,5.0555419921875,5.937554359436035,6.0032958984375,5.879798889160156,5.8956475257873535,5.5423407554626465,5.695260524749756,5.879757404327393,5.400385856628418,5.142017364501953,5.737379550933838,6.234996795654297,5.3580708503723145,5.318986892700195,5.519367694854736,5.459412574768066,5.445926189422607,5.851919651031494,5.791234493255615,5.429203033447266,5.61172342300415,5.550127983093262,5.438629150390625,5.706851005554199,5.736731052398682,5.670237064361572,6.092429161071777,5.324488162994385,5.434103965759277,5.69665002822876,5.608067989349365,5.419340133666992,5.546170711517334,5.268589019775391,5.31016731262207,5.341418743133545,5.2000508308410645,5.600800037384033,5.930937767028809,5.955567836761475,5.812703609466553,5.684312343597412,5.503049850463867,5.673263072967529,5.709354877471924,5.4820661544799805,5.937159061431885,6.227768421173096,5.602182388305664,5.727513790130615,5.493226528167725,5.653135776519775,5.415804386138916,5.529270172119141,5.537847518920898,5.7342681884765625,5.41316556930542,5.497076988220215,5.704412460327148,5.484185218811035,5.629685878753662,5.912559509277344,5.401813983917236,5.477332592010498
